Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QC,Crops,2,Afghanistan,5312,Area harvested,221,"Almonds, with shell",2014,2014,ha,13703.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,221,"Almonds, with shell",2014,2014,tonnes,27400.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,711,"Anise, badian, fennel, coriander",2014,2014,ha,20300.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,711,"Anise, badian, fennel, coriander",2014,2014,tonnes,13220.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,515,Apples,2014,2014,ha,12247.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,515,Apples,2014,2014,tonnes,89403.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,526,Apricots,2014,2014,ha,9005.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,526,Apricots,2014,2014,tonnes,90000.0,F,FAO estimate
QC,Crops,2,Afghanistan,5312,Area harvested,44,Barley,2014,2014,ha,342472.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,44,Barley,2014,2014,tonnes,521000.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,558,Berries nes,2014,2014,ha,3800.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,558,Berries nes,2014,2014,tonnes,23114.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,767,Cotton lint,2014,2014,tonnes,14000.0,F,FAO estimate
QC,Crops,2,Afghanistan,5510,Production,329,Cottonseed,2014,2014,tonnes,42829.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,569,Figs,2014,2014,ha,1525.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,569,Figs,2014,2014,tonnes,6100.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,512,"Fruit, citrus nes",2014,2014,ha,300.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,512,"Fruit, citrus nes",2014,2014,tonnes,3000.0,F,FAO estimate
QC,Crops,2,Afghanistan,5312,Area harvested,619,"Fruit, fresh nes",2014,2014,ha,8450.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,619,"Fruit, fresh nes",2014,2014,tonnes,63375.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,541,"Fruit, stone nes",2014,2014,ha,8229.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,541,"Fruit, stone nes",2014,2014,tonnes,46196.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,560,Grapes,2014,2014,ha,78405.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,560,Grapes,2014,2014,tonnes,744847.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,333,Linseed,2014,2014,ha,4213.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,333,Linseed,2014,2014,tonnes,2500.0,F,FAO estimate
QC,Crops,2,Afghanistan,5312,Area harvested,56,Maize,2014,2014,ha,127000.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,56,Maize,2014,2014,tonnes,316000.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,568,"Melons, other (inc.cantaloupes)",2014,2014,ha,22722.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,568,"Melons, other (inc.cantaloupes)",2014,2014,tonnes,274250.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,79,Millet,2014,2014,ha,1515.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,79,Millet,2014,2014,tonnes,3629.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,234,"Nuts, nes",2014,2014,ha,1161.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,234,"Nuts, nes",2014,2014,tonnes,927.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,260,Olives,2014,2014,ha,2200.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,260,Olives,2014,2014,tonnes,7107.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,490,Oranges,2014,2014,ha,1050.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,490,Oranges,2014,2014,tonnes,6930.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,534,Peaches and nectarines,2014,2014,ha,2377.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,534,Peaches and nectarines,2014,2014,tonnes,20204.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,521,Pears,2014,2014,ha,632.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,521,Pears,2014,2014,tonnes,5056.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,223,Pistachios,2014,2014,ha,2299.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5510,Production,223,Pistachios,2014,2014,tonnes,2761.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,536,Plums and sloes,2014,2014,ha,4825.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,536,Plums and sloes,2014,2014,tonnes,42190.0,Im,FAO data based on imputation methodology
QC,Crops,2,Afghanistan,5312,Area harvested,116,Potatoes,2014,2014,ha,25009.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,116,Potatoes,2014,2014,tonnes,340257.0,,Official data
QC,Crops,2,Afghanistan,5312,Area harvested,211,"Pulses, nes",2014,2014,ha,79746.0,,Official data
QC,Crops,2,Afghanistan,5510,Production,211,"Pulses, nes",2014,2014,tonnes,60000.0,F,FAO estimate
QC,Crops,2,Afghanistan,5312,Area harvested,27,"Rice, paddy",2014,2014,ha,220000.0,,Official data
